Top pages,8/15/26 - 8/17/26 Clicks,8/22/26 - 8/23/26 Clicks,8/15/26 - 8/17/26 Impressions,8/22/26 - 8/23/26 Impressions,8/15/26 - 8/17/26 CTR,8/22/26 - 8/23/26 CTR,8/15/26 - 8/17/26 Position,8/22/26 - 8/23/26 Position
https://metroconet.com/city/normal,4,0,158,0,2.53%,0%,7.27,0
https://metroconet.com/city/findlay,4,0,131,0,3.05%,0%,17.1,0
https://metroconet.com/metronet/sioux-city,4,0,117,1,3.42%,0%,11.14,1
https://metroconet.com/city/mason-city,4,0,94,2,4.26%,0%,6.87,11.5
https://metroconet.com/city/noblesville,4,0,93,1,4.3%,0%,7.82,5
https://metroconet.com/metronet/piqua,4,0,65,1,6.15%,0%,7.29,3
https://metroconet.com/metronet/naperville,4,2,57,8,7.02%,25%,16.44,2.62
https://metroconet.com/city/altoona,4,0,43,3,9.3%,0%,6.91,2.67
https://metroconet.com/city/fayetteville,3,0,325,0,0.92%,0%,10.22,0
https://metroconet.com/city/colorado-springs,3,0,210,0,1.43%,0%,21.9,0
https://metroconet.com/city/bryan,3,0,171,2,1.75%,0%,5.88,4
https://metroconet.com/city/nicholasville,3,1,159,16,1.89%,6.25%,8.33,6.19
https://metroconet.com/city/elgin,3,0,109,17,2.75%,0%,8.59,12.47
https://metroconet.com/city/st-charles,3,0,101,6,2.97%,0%,8.25,1
https://metroconet.com/city/east-lansing,3,0,52,0,5.77%,0%,7.37,0
https://metroconet.com/metronet/tallahassee,2,0,696,1,0.29%,0%,16.25,1
https://metroconet.com/city/greenville,2,0,358,0,0.56%,0%,10.91,0
https://metroconet.com/metronet/omaha,2,0,278,0,0.72%,0%,16.28,0
https://metroconet.com/city/moline,2,0,220,0,0.91%,0%,8.27,0
https://metroconet.com/city/ankeny,2,0,159,0,1.26%,0%,11.76,0
https://metroconet.com/city/jacksonville,2,0,149,0,1.34%,0%,8.42,0
https://metroconet.com/city/fishers,2,0,142,1,1.41%,0%,9.29,2
https://metroconet.com/careers,2,0,140,2,1.43%,0%,8.58,63
https://metroconet.com/city/greenwood,2,2,131,13,1.53%,15.38%,11.23,1.15
https://metroconet.com/metronet/rochester,2,0,119,5,1.68%,0%,13.47,11.6
https://metroconet.com/city/franklin,2,0,116,0,1.72%,0%,17.2,0
https://metroconet.com/city/westfield,2,0,113,0,1.77%,0%,11.84,0
https://metroconet.com/metronet/fayetteville,2,0,112,4,1.79%,0%,16.29,9.25
https://metroconet.com/city/urbandale,2,0,109,1,1.83%,0%,11.83,72
https://metroconet.com/city/batavia,2,0,100,19,2%,0%,6.64,5.47
https://metroconet.com/metronet/west-des-moines,2,0,96,2,2.08%,0%,12.14,10
https://metroconet.com/metronet/bettendorf,2,0,91,2,2.2%,0%,8.66,16
https://metroconet.com/city/faribault,2,1,90,8,2.22%,12.5%,12.89,1.38
https://metroconet.com/city/lakeville,2,0,84,2,2.38%,0%,11.4,4
https://metroconet.com/city/granger,2,0,81,4,2.47%,0%,8.01,7
https://metroconet.com/city/coralville,2,0,64,5,3.12%,0%,12.73,2.2
https://metroconet.com/metronet/new-castle,2,0,57,0,3.51%,0%,12.4,0
https://metroconet.com/metronet/ankeny,2,0,55,0,3.64%,0%,14.29,0
https://metroconet.com/city/berea,2,0,53,0,3.77%,0%,12.28,0
https://metroconet.com/city/portage,2,0,48,0,4.17%,0%,8.02,0
https://metroconet.com/city/south-daytona,2,0,24,0,8.33%,0%,22.58,0
https://metroconet.com/metronet/mayer,2,0,15,0,13.33%,0%,4.13,0
https://metroconet.com/city/galesburg,1,0,279,5,0.36%,0%,3.4,4.8
https://metroconet.com/city/lansing,1,0,217,0,0.46%,0%,9.24,0
https://metroconet.com/city/daytona-beach,1,0,214,3,0.47%,0%,17.88,2.67
https://metroconet.com/city/mankato,1,0,189,0,0.53%,0%,21.72,0
https://metroconet.com/city/grand-rapids,1,0,173,0,0.58%,0%,16.73,0
https://metroconet.com/metronet/lafayette,1,0,139,0,0.72%,0%,15.27,0
https://metroconet.com/city/geneva,1,0,136,6,0.74%,0%,7.53,4.5
https://metroconet.com/city/richmond,1,0,112,22,0.89%,0%,9.63,10.55
https://metroconet.com/metronet-state/illinois,1,0,107,0,0.93%,0%,22.77,0
https://metroconet.com/city/seymour,1,0,103,0,0.97%,0%,11.06,0
https://metroconet.com/city/new-bern,1,0,93,0,1.08%,0%,10.77,0
https://metroconet.com/city/vincennes,1,0,83,0,1.2%,0%,10.7,0
https://metroconet.com/city/waconia,1,0,83,0,1.2%,0%,14.53,0
https://metroconet.com/city/crawfordsville,1,0,78,0,1.28%,0%,9.19,0
https://metroconet.com/city/lebanon,1,0,77,0,1.3%,0%,14.94,0
https://metroconet.com/city/owatonna,1,0,72,0,1.39%,0%,11.6,0
https://metroconet.com/city/madison,1,0,68,1,1.47%,0%,10.65,79
https://metroconet.com/city/romeoville,1,0,67,0,1.49%,0%,12.63,0
https://metroconet.com/city/iowa-city,1,0,67,0,1.49%,0%,16.61,0
https://metroconet.com/city/raeford,1,0,65,2,1.54%,0%,12.2,3
https://metroconet.com/city/ann-arbor,1,0,63,0,1.59%,0%,15.84,0
https://metroconet.com/metronet/indianapolis,1,0,63,0,1.59%,0%,33.6,0
https://metroconet.com/city/sugar-grove,1,0,61,14,1.64%,0%,13.87,3.71
https://metroconet.com/metronet/normal,1,0,60,0,1.67%,0%,22.33,0
https://metroconet.com/city/naperville,1,0,57,0,1.75%,0%,21.16,0
https://metroconet.com/metronet/northfield,1,0,48,0,2.08%,0%,9.06,0
https://metroconet.com/metronet/westfield,1,0,44,1,2.27%,0%,26.66,2
https://metroconet.com/metronet/hope-mills,1,0,29,0,3.45%,0%,34.76,0
https://metroconet.com/metronet/la-crosse,1,0,28,1,3.57%,0%,5.11,5
https://metroconet.com/city/montgomery,1,0,25,0,4%,0%,6.64,0
https://metroconet.com/metronet/ann-arbor,1,0,23,0,4.35%,0%,25.43,0
https://metroconet.com/metronet/saint-peter,1,0,22,4,4.55%,0%,9.64,2
https://metroconet.com/city/new-whiteland,1,0,20,0,5%,0%,46.3,0
https://metroconet.com/metronet-state/michigan,1,0,19,0,5.26%,0%,30.95,0
https://metroconet.com/metronet/berea,1,0,18,0,5.56%,0%,26.67,0
https://metroconet.com/city/hudsonville,1,0,11,0,9.09%,0%,13.73,0
https://metroconet.com/city/warsaw,1,0,11,0,9.09%,0%,38.09,0
https://metroconet.com/city/grand-ledge,1,0,10,0,10%,0%,9.5,0
https://metroconet.com/city/le-sueur,1,0,9,0,11.11%,0%,3.78,0
https://metroconet.com/city/winterville,1,0,8,0,12.5%,0%,5.25,0
https://metroconet.com/city/cortland,1,0,8,6,12.5%,0%,14.12,3
https://metroconet.com/city/flagler-beach,1,0,7,1,14.29%,0%,6.71,1
https://metroconet.com/metronet/toledo,1,0,6,0,16.67%,0%,28.67,0
https://metroconet.com/city/milan,1,0,3,0,33.33%,0%,3.67,0
https://metroconet.com/city/climax,0,0,439,0,0%,0%,13.85,0
https://metroconet.com/metronet-state/minnesota,0,0,164,0,0%,0%,13.17,0
https://metroconet.com/metronet-state,0,0,139,7,0%,0%,18.06,8.29
https://metroconet.com/why-metronet,0,0,127,2,0%,0%,26.96,9.5
https://metroconet.com/city/sioux-city,0,0,125,0,0%,0%,9.28,0
https://metroconet.com/city/hope-mills,0,0,124,3,0%,0%,16.05,11.33
https://metroconet.com/city/north-aurora,0,0,111,0,0%,0%,10.95,0
https://metroconet.com/metronet/detroit,0,0,110,0,0%,0%,31.66,0
https://metroconet.com/city/oswego,0,0,107,10,0%,0%,6.78,8.9
https://metroconet.com/metronet-state/indiana,0,0,98,0,0%,0%,25.31,0
https://metroconet.com/city/plainfield,0,0,97,15,0%,0%,11.37,9.2
https://metroconet.com/metronet/palm-coast,0,0,97,0,0%,0%,16.45,0
https://metroconet.com/city/colona,0,0,92,7,0%,0%,8.46,2.43
https://metroconet.com/metronet-state/iowa,0,0,92,4,0%,0%,23.17,16.25
https://metroconet.com/city/orlando,0,0,90,0,0%,0%,17.43,0
https://metroconet.com/city/toledo,0,0,87,0,0%,0%,24.41,0
https://metroconet.com/city/beavercreek,0,0,83,0,0%,0%,8.84,0
https://metroconet.com/city/huntington,0,0,82,5,0%,0%,12.59,3.4
https://metroconet.com/metronet/grand-rapids,0,0,82,19,0%,0%,14,2.05
https://metroconet.com/metronet/ames,0,0,80,0,0%,0%,14.26,0
https://metroconet.com/metronet/lexington,0,0,80,0,0%,0%,14.54,0
https://metroconet.com/city/sycamore,0,0,74,0,0%,0%,14.35,0
https://metroconet.com/city/clive,0,0,74,0,0%,0%,16.15,0
https://metroconet.com/city/austin,0,0,67,18,0%,0%,11.28,4.5
https://metroconet.com/city/bettendorf,0,0,66,1,0%,0%,10.08,6
https://metroconet.com/city/vandalia,0,0,63,0,0%,0%,10.89,0
https://metroconet.com/contact-us,0,0,62,2,0%,0%,17.32,9.5
https://metroconet.com/city/blooming-prairie,0,0,60,10,0%,0%,11.45,1.9
https://metroconet.com/city/iowa-falls,0,0,59,0,0%,0%,14.66,0
https://metroconet.com/city/dexter,0,0,57,14,0%,0%,14.88,2
https://metroconet.com/metronet-state/ohio,0,0,57,0,0%,0%,21.37,0
https://metroconet.com/metronet/waconia,0,0,55,0,0%,0%,13.35,0
https://metroconet.com/city/wilmore,0,0,54,12,0%,0%,17.76,1.92
https://metroconet.com/city/connersville,0,0,53,0,0%,0%,9.04,0
https://metroconet.com/metronet/colorado-springs,0,0,53,0,0%,0%,35.64,0
https://metroconet.com/city/altamonte-springs,0,0,52,0,0%,0%,9.13,0
https://metroconet.com/city/versailles,0,0,52,4,0%,0%,10.62,2.5
https://metroconet.com/metronet/iowa-city,0,0,50,1,0%,0%,25.26,2
https://metroconet.com/city/polk-city,0,0,49,9,0%,0%,14.69,1.89
https://metroconet.com/city/norwood-young-america,0,0,49,9,0%,0%,15.37,2
https://metroconet.com/metronet/owatonna,0,0,48,0,0%,0%,14.85,0
https://metroconet.com/city/waterville,0,0,47,8,0%,0%,8.09,2
https://metroconet.com/city/west-des-moines,0,0,47,0,0%,0%,20.89,0
https://metroconet.com/city/south-bend,0,0,46,0,0%,0%,37.72,0
https://metroconet.com/city/ormond-beach,0,0,45,6,0%,0%,14.69,12.5
https://metroconet.com/city/zionsville,0,0,44,0,0%,0%,8.48,0
https://metroconet.com/city/jewell,0,0,41,2,0%,0%,13.41,2
https://metroconet.com/city/prior-lake,0,0,41,1,0%,0%,21.44,2
https://metroconet.com/metronet/west-milton,0,0,40,0,0%,0%,12.5,0
https://metroconet.com/metronet/lakeville,0,0,40,1,0%,0%,19.25,8
https://metroconet.com/city/johnston,0,0,38,0,0%,0%,10.18,0
https://metroconet.com/metronet/chanhassen,0,0,37,2,0%,0%,20.68,3
https://metroconet.com/metronet/carmel,0,0,37,0,0%,0%,29.59,0
https://metroconet.com/city/port-orange,0,0,35,3,0%,0%,13.8,4.67
https://metroconet.com/city/new-carlisle,0,0,35,0,0%,0%,26.29,0
https://metroconet.com/metronet-state/florida,0,0,35,0,0%,0%,28.8,0
https://metroconet.com/city/pleasant-hill,0,0,34,3,0%,0%,13.12,1.67
https://metroconet.com/city/norwalk,0,1,34,2,0%,50%,14.88,6
https://metroconet.com/metronet/fishers,0,0,34,1,0%,0%,20.79,7
https://metroconet.com/metronet/mason-city,0,0,33,0,0%,0%,14.94,0
https://metroconet.com/metronet/shakopee,0,0,33,1,0%,0%,19.03,80
https://metroconet.com/city/waseca,0,0,31,0,0%,0%,18,0
https://metroconet.com/city/belle-plaine,0,0,30,0,0%,0%,12.47,0
https://metroconet.com/metronet/plano,0,0,30,0,0%,0%,23.23,0
https://metroconet.com/metronet/franklin,0,0,28,0,0%,0%,62.14,0
https://metroconet.com/metronet/nicholasville,0,0,27,3,0%,0%,14.67,4.33
https://metroconet.com/metronet/wabash,0,0,27,0,0%,0%,27.78,0
https://metroconet.com/metronet/sugar-grove,0,0,26,0,0%,0%,16.92,0
https://metroconet.com/metronet/ormond-beach,0,0,25,10,0%,0%,4.16,2
https://metroconet.com/metronet/granger,0,0,25,2,0%,0%,37.44,4
https://metroconet.com/metronet/plainfield,0,0,23,0,0%,0%,24.17,0
https://metroconet.com/metronet/madison,0,0,23,0,0%,0%,25.52,0
https://metroconet.com/metronet-state/kentucky,0,0,23,0,0%,0%,37.3,0
https://metroconet.com/city/fairborn,0,0,22,0,0%,0%,5.27,0
https://metroconet.com/city/apopka,0,0,22,0,0%,0%,16.23,0
https://metroconet.com/metronet/vincennes,0,0,22,0,0%,0%,25.82,0
https://metroconet.com/metronet/thorntown,0,0,22,0,0%,0%,67.59,0
https://metroconet.com/city/gilbert,0,0,21,0,0%,0%,17.14,0
https://metroconet.com/metronet/grimes,0,0,18,0,0%,0%,14.33,0
https://metroconet.com/metronet/dayton,0,0,18,0,0%,0%,29.11,0
https://metroconet.com/metronet/jacksonville,0,0,18,0,0%,0%,32.11,0
https://metroconet.com/city/ellendale,0,0,17,0,0%,0%,2.88,0
https://metroconet.com/metronet/gilbert,0,0,17,0,0%,0%,37.82,0
https://metroconet.com/city/north-vernon,0,0,17,2,0%,0%,42.94,4.5
https://metroconet.com/metronet/johnston,0,0,17,0,0%,0%,68.65,0
https://metroconet.com/city/dundas,0,0,16,0,0%,0%,5.06,0
https://metroconet.com/metronet/crawfordsville,0,0,16,0,0%,0%,15.31,0
https://metroconet.com/metronet/saint-paul,0,0,16,0,0%,0%,17.88,0
https://metroconet.com/city/elko-new-market,0,0,16,0,0%,0%,23.88,0
https://metroconet.com/city/west-milton,0,0,15,0,0%,0%,14.07,0
https://metroconet.com/metronet/norwood-young-america,0,0,15,9,0%,0%,14.8,8.33
https://metroconet.com/metronet/hudsonville,0,0,15,0,0%,0%,58.53,0
https://metroconet.com/metronet/belle-plaine,0,0,14,0,0%,0%,8,0
https://metroconet.com/metronet/beavercreek,0,0,14,0,0%,0%,42.64,0
https://metroconet.com/metronet/batavia,0,0,14,0,0%,0%,43.36,0
https://metroconet.com/metronet/davenport,0,0,14,0,0%,0%,51.21,0
https://metroconet.com/metronet/jordan,0,0,13,9,0%,0%,2,2
https://metroconet.com/metronet/stewartville,0,0,13,0,0%,0%,6,0
https://metroconet.com/city/jenison,0,0,13,0,0%,0%,7.54,0
https://metroconet.com/metronet/byron,0,0,13,0,0%,0%,16.62,0
https://metroconet.com/metronet/troy,0,0,12,2,0%,0%,47.83,5
https://metroconet.com/city/longwood,0,0,11,0,0%,0%,17.91,0
https://metroconet.com/metronet/daytona-beach,0,0,11,0,0%,0%,23.73,0
https://metroconet.com/metronet/altamonte-springs,0,0,11,0,0%,0%,26.91,0
https://metroconet.com/city/cologne,0,0,10,0,0%,0%,3,0
https://metroconet.com/city/bennington,0,0,10,0,0%,0%,10.5,0
https://metroconet.com/metronet/new-germany,0,0,10,2,0%,0%,12.1,2
https://metroconet.com/city/maitland,0,0,10,0,0%,0%,22.4,0
https://metroconet.com/city/clayton,0,0,9,4,0%,0%,2.33,2
https://metroconet.com/terms-and-conditions,0,0,9,0,0%,0%,37.22,0
https://metroconet.com/city/midway,0,0,9,0,0%,0%,42.11,0
https://metroconet.com/city/beavercreek-township,0,0,8,0,0%,0%,16.38,0
https://metroconet.com/metronet/greenville,0,0,8,0,0%,0%,46.12,0
https://metroconet.com/metronet-state/nebraska,0,0,8,0,0%,0%,55.62,0
https://metroconet.com/city/genoa,0,0,7,5,0%,0%,6,5
https://metroconet.com/city/stewartville,0,0,7,0,0%,0%,6.86,0
https://metroconet.com/city/elkhorn,0,0,7,0,0%,0%,11.43,0
https://metroconet.com/metronet/vandalia,0,0,7,0,0%,0%,26.71,0
https://metroconet.com/city/hanover,0,0,7,0,0%,0%,29.43,0
https://metroconet.com/city/kalamazoo,0,0,6,0,0%,0%,6.5,0
https://metroconet.com/metronet/brookville,0,0,6,0,0%,0%,10.17,0
https://metroconet.com/metronet/elburn,0,0,6,0,0%,0%,35.33,0
https://metroconet.com/metronet-state/colorado,0,0,6,0,0%,0%,49.5,0
https://metroconet.com/city/new-germany,0,0,5,2,0%,0%,9.2,8
https://metroconet.com/city/carbon-cliff,0,0,5,0,0%,0%,32.4,0
https://metroconet.com/metronet/elysian,0,0,5,0,0%,0%,54.6,0
https://metroconet.com/metronet/climax,0,0,4,0,0%,0%,33,0
https://metroconet.com/city/bargersville,0,0,4,0,0%,0%,39.5,0
https://metroconet.com/metronet/dimondale,0,0,4,0,0%,0%,52.25,0
https://metroconet.com/metronet/havelock,0,0,3,0,0%,0%,6,0
https://metroconet.com/city/dimondale,0,0,3,0,0%,0%,25,0
https://metroconet.com/city/northfield,0,0,3,0,0%,0%,28.33,0
https://metroconet.com/metronet/okemos,0,0,3,0,0%,0%,30,0
https://metroconet.com/metronet/le-roy,0,0,2,0,0%,0%,2.5,0
https://metroconet.com/city/saint-paul,0,0,2,0,0%,0%,5.5,0
https://metroconet.com/city/linden,0,0,2,0,0%,0%,6.5,0
https://metroconet.com/metronet/south-daytona,0,0,2,0,0%,0%,6.5,0
https://metroconet.com/city/osceola,0,0,2,0,0%,0%,8,0
https://metroconet.com/city/wabash,0,0,2,0,0%,0%,9,0
https://metroconet.com/metronet/faribault,0,0,2,0,0%,0%,17,0
https://metroconet.com/city/paint-lick,0,0,2,0,0%,0%,18,0
https://metroconet.com/metronet/bennington,0,0,2,0,0%,0%,39.5,0
https://metroconet.com/metronet-state/texas,0,0,2,0,0%,0%,62,0
https://metroconet.com/metronet/iowa-falls,0,0,2,0,0%,0%,82.5,0
https://metroconet.com/metronet/pendleton,0,0,2,0,0%,0%,84,0
https://metroconet.com/city/roanoke,0,0,1,0,0%,0%,1,0
https://metroconet.com/city/wyoming,0,0,1,0,0%,0%,1,0
https://metroconet.com/city/marion,0,0,1,0,0%,0%,2,0
https://metroconet.com/metronet/brownsdale,0,0,1,0,0%,0%,2,0
https://metroconet.com/city/excelsior,0,0,1,0,0%,0%,3,0
https://metroconet.com/city/pendleton,0,0,1,0,0%,0%,3,0
https://metroconet.com/city/rosemount,0,0,1,0,0%,0%,6,0
https://metroconet.com/city/kasota,0,0,1,0,0%,0%,8,0
https://metroconet.com/metronet/elgin,0,0,1,0,0%,0%,9,0
https://metroconet.com/city/la-crosse,0,0,1,0,0%,0%,11,0
https://metroconet.com/metronet/holt,0,0,1,0,0%,0%,73,0
https://metroconet.com/city/bristol,0,0,1,0,0%,0%,86,0
